"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloids","bfoliage2",1.6304
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bwood1",0.1861
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bwood2",2.1665
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bbark1",0.0406
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bbark2",1.9946
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bbranches1",0.0461
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bbranches2",2.2291
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bfoliage1",0.1106
"DBH","CA-ON, CA-QC","FRAX.AME","Oleaceae","Fraxinus","americana","bfoliage2",1.2277
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bwood1",0.1861
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bwood2",2.1665
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bbark1",0.0406
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bbark2",1.9946
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bbranches1",0.0461
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bbranches2",2.2291
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bfoliage1",0.1106
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papifera","bfoliage2",1.2277
"DBH","CA-ON","ULMU.AME","Ulmaceae","Ulmus","americana","bwood1",0.0402
"DBH","CA-ON","ULMU.AME","Ulmaceae","Ulmus","americana","bwood2",2.5804
"DBH","CA-ON","ULMU.AME","Ulmaceae","Ulmus","americana","bbark1",0.0073
"DBH","CA-ON","ULMU.AME","Ulmaceae","Ulmus","americana","bbark2",2.4859
"DBH","CA-ON","ULMU.AME","Ulmaceae","Ulmus","americana","bbranches1",0.0401
